################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2          5   1.5115402284908808E-02   8.9769920269317585E-02   4.5249758959561757E-02   5.4188915871387850E-03
         2          6   5.8907915575381824E-02   2.4502933234911467E-01   1.4509977867553198E-01   1.3804112057644221E-02
         2          7   1.7585401275552314E-03   2.3834146998643543E-02   8.5577823850911602E-03   1.5084600832387181E-03
         2          8   2.4140841006905463E-05   1.7364260971422520E-03   3.1321210514194251E-04   9.5335999757398729E-05
         2          9   7.1532528297088072E-01   4.7357191138094770E+00   2.6868459730267245E+00   5.9170104755689401E-01
         2         10   5.6301628567420506E-02   2.0391351037930932E+00   9.8513855926363136E-01   2.8670666690445357E-01
         2         11   6.5703695712707699E-01   3.7065954238764580E+00   2.0774105662655358E+00   4.2315724824412793E-01
         2         12   3.1024606077905824E-02   1.4821465668803395E+00   6.8481058169427211E-01   2.0340622773191083E-01
         2         13   4.4765630136437978E-01   1.5562870959630304E+00   9.0931824361878921E-01   1.3245202178246168E-01
         2         14   8.7055091560538141E-03   7.8388555175299823E-01   3.2934302358877249E-01   1.0326465741334506E-01
         2         15   3.0884064139997757E-04   1.1502093746639126E-01   3.9952480257806358E-02   1.4423127092766769E-02
         2         16   4.9061923640751376E-01   1.4428029361905965E+00   8.7552213975878368E-01   1.0548541661993878E-01
         2         17   1.4113901292375161E-03   3.3307215238482035E-01   1.2328791981036222E-01   4.2220177927438977E-02
         2         18   2.4062864443096343E-04   1.4976979854237096E-01   4.9587759002393865E-02   1.8817064736234904E-02
         2         19   3.0390691892389421E-01   6.2923901334940335E-01   4.6032636698183249E-01   3.0210954015937725E-02
         2         20   7.3405892499748078E-06   3.3544133527987914E-02   8.9163234552150882E-03   4.2883328315206169E-03
         2         21   1.2486698793083736E-01   3.7405873171349308E-01   2.4654563639871263E-01   1.8014341625592466E-02
         2         22   2.5707394716937875E-02   1.8380290294857796E-01   8.6649414131328747E-02   1.1498195698702642E-02
         2         23   1.0284076227428031E-03   1.5749700908835526E-02   5.9700246546275952E-03   9.4908914145421777E-04
         2         24   5.2886914063301137E-04   1.9501185250860819E-02   3.6952597295748751E-03   1.1101708066198670E-03
         2         25   6.6968412918626404E-04   1.1765360163270368E-02   3.7657388450600977E-03   6.5292195156442360E-04
         2         26   8.4939312852695391E-05   1.4063985251494359E-02   1.4909739200073772E-03   7.2723861318546861E-04
         2         27   4.1443695443872924E-04   8.7979962196772111E-03   2.4056947719027608E-03   5.1434800535634392E-04
         2         28   7.9924496219930356E-03   4.9589792801706931E-02   2.2785372524822704E-02   4.1775432091472114E-03
         2         29   4.3717375746496288E-03   8.5849984093661999E-02   1.7988078261915553E-02   6.1836161319921831E-03
         2         30   4.3644581805309278E-03   3.3835149208713049E-02   1.4249930791258936E-02   2.7565163396397916E-03
         2         31   1.1323144239077758E-03   6.1537018261035074E-02   9.4526365283517880E-03   4.6639278496885634E-03
         2         32   1.8189109579800514E-03   2.5295749750256218E-02   9.2638762968905754E-03   2.0521567623567410E-03
         2         33   1.0846205849416057E-05   6.6750766399614553E-02   1.7834541132795246E-02   7.8849299175316363E-03
         2         34   7.4829063908554580E-11   6.0611112395602806E-03   8.4803488489692094E-04   6.3459095184521309E-04
         2         35   3.6205850570885448E-03   6.5075567837110204E-01   2.1530308021041489E-01   8.7777509670995124E-02
         2         36   3.8440097917265245E-07   6.8404515808764416E-02   1.3051453755827613E-02   9.4734019708504480E-03
         2         37   2.6911400517410089E-03   8.8555422167880482E-02   3.1796044466143661E-02   8.4220779661033814E-03
         2         38   1.2827584708500358E-03   3.0125098780887155E-01   8.2224602046996428E-02   3.8873756376166670E-02
         2         39   1.5545977333502770E-02   1.2619579121243571E-01   5.1143872270985706E-02   1.1321836846794477E-02
         2         40   1.5745634781781358E-05   3.6289603961987861E-02   7.8466454740894025E-03   4.3985141324108757E-03
         2         41   8.5856663153437229E-11   3.4123537346982544E-03   3.7784848847334615E-04   3.8655209732184646E-04
         2         42   9.1829498430736085E-03   1.9949206663551888E-01   5.5234972794759134E-02   2.1438684774329076E-02
         2         43   1.7898602665033232E-04   1.4538204685177561E-01   3.9613485081817792E-02   1.7150810404345806E-02
         2         44   7.4320386544780966E-10   9.2058870993972398E-03   1.0886032225329270E-03   1.1077135729485267E-03
         2         45   5.7483077624756272E-03   3.9243185159612934E-02   1.7212467175572205E-02   2.8493673608558502E-03
         2         46   2.8195782382410433E-03   6.1713481441150422E-02   1.2650834179995286E-02   3.8424749508086230E-03
