################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.6261576961144239E-01 a       216     0    11     1    16
 -5.8227448792634973E-01 a       217     0    11     1    17
  2.6450296900836751E-01 a       218     0    11     1    18
  4.4913951254428691E-01 a       219     0    11     1    19
  2.3601085129025681E-01 a       220     0    11     1    20
  6.6072829196641825E-01 a       221     0    12     1     1
  8.0150300565045929E-01 a       222     0    12     1     2
 -8.4109843457918798E-01 a       223     0    12     1     3
  1.6192058968193329E-01 a       224     0    12     1     4
 -2.2895679793496018E-01 a       225     0    12     1     5
 -2.0458121011658936E-01 a       226     0    12     1     6
 -1.1177600418805635E+00 a       227     0    12     1     7
  5.7640179666151238E-02 a       228     0    12     1     8
  2.6649053761693869E-01 a       229     0    12     1     9
  5.0352100706347025E-01 a       230     0    12     1    10
  2.0027566172264150E-03 a       231     0    12     1    11
  1.4305442648804384E-01 a       232     0    12     1    12
  3.1490218462321015E-02 a       233     0    12     1    13
 -5.9321260266803921E-01 a       234     0    12     1    14
 -1.0590238037747390E+00 a       235     0    12     1    15
 -4.0587431403762017E-02 a       236     0    12     1    16
  6.1268806575802615E-01 a       237     0    12     1    17
 -6.9811038651995583E-01 a       238     0    12     1    18
 -2.0965369121327171E-01 a       239     0    12     1    19
 -4.5712844759985216E-01 a       240     0    12     1    20
  4.7316708121150436E-02 a       241     0    13     1     1
 -1.5369311569607264E-01 a       242     0    13     1     2
  3.3124525389369486E-01 a       243     0    13     1     3
 -2.3151005304983183E-01 a       244     0    13     1     4
  4.6305413458930433E-01 a       245     0    13     1     5
 -1.7368511701660655E-01 a       246     0    13     1     6
  1.6664742794090190E-01 a       247     0    13     1     7
  1.5132373007353733E-01 a       248     0    13     1     8
  3.0020176991202807E-01 a       249     0    13     1     9
  1.9206931705345415E-01 a       250     0    13     1    10
  1.8861690610349163E-01 a       251     0    13     1    11
  6.4922945305653901E-01 a       252     0    13     1    12
  5.1735436187860451E-01 a       253     0    13     1    13
 -4.5958069310250138E-01 a       254     0    13     1    14
 -1.8280718766259130E-01 a       255     0    13     1    15
  4.5155180245128601E-01 a       256     0    13     1    16
 -6.0412531112474177E-01 a       257     0    13     1    17
  2.0785906508998309E-01 a       258     0    13     1    18
  3.3665671497788974E-01 a       259     0    13     1    19
 -3.6925296559880644E-01 a       260     0    13     1    20
  4.2517189141959916E-01 a       261     0    14     1     1
  1.4688284597378998E-01 a       262     0    14     1     2
  1.1574026473700632E+00 a       263     0    14     1     3
 -1.0776873639828041E-01 a       264     0    14     1     4
 -1.4624693342907136E-01 a       265     0    14     1     5
